Time (Sec);S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S3;S4;S5;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.02666666666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.02666666666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.03666666666666667;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.12666666666666668;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.22666666666666668;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.32666666666666666;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.42666666666666664;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.5266666666666666;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.6266666666666666;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.7266666666666666;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.8266666666666665;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.9266666666666665;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
1.0266666666666666;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.9963392;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
1.0366666666666666;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99623919999999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;
1.0366666666666666;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;
1.0452506666666666;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9966968;99.9999;99.9999;
1.0452506666666666;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9999;99.9999;
1.0466666666666666;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9999;99.9999;
1.0538346666666667;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.1266666666666667;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.2266666666666668;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.3266666666666669;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.426666666666667;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.526666666666667;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.6266666666666671;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.7266666666666672;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.8266666666666673;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
1.9266666666666674;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
2.0266666666666673;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98960879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
2.0366666666666675;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98950879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.99006639999999;99.9966968;99.9999;
2.0452506666666674;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98950879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98996639999999;99.9966968;99.9999;
2.0466666666666673;100.0;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98950879999998;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.9999;99.98996639999999;99.9966968;99.9999;
2.0466666666666673;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.99659679999999;99.9998;
2.0466666666666673;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.9998;
2.0552506666666672;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.99659679999999;
2.0552506666666672;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.0552506666666672;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.056666666666667;100.0;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.063834666666667;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.126666666666667;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.226666666666667;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.326666666666667;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.426666666666667;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
2.5266666666666673;100.0;99.9998;99.9998;99.9998;99.99659679999999;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98950879999998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.9998;99.98996639999999;99.98996639999999;99.98996639999999;
